구분,Unnamed: 1,Unnamed: 2,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,95% CI
울산,40-49,,,,,,,,,,,1.1(0.3),1.7(0.4),0.9(0.3),1.2(0.4),2.3(0.5),3.6(0.8),3.3(0.6),2.8(0.6),1.5-4.1
울산,50-59,,,,,,,,,,,0.8(0.3),1.3(0.3),1.8(0.4),1.6(0.5),2.0(0.5),2.4(0.6),2.3(0.5),2.2(0.4),1.3-3.0
울산,60-69,,,,,,,,,,,1.5(0.6),3.4(0.9),3.4(0.7),1.7(0.5),1.9(0.4),3.6(0.6),2.4(0.5),3.5(0.7),2.2-4.9
울산,70이상,,,,,,,,,,,3.4(1.1),6.9(1.3),4.1(0.8),3.7(0.7),6.6(1.2),6.1(1.0),5.9(1.0),7.1(1.2),4.8-9.4
세종,N,(명),,,,,,,,,,919,917,896,901,919,917,920,920,
세종,전체,(조율),,,,,,,,,,2.5(0.6),3.9(0.7),2.1(0.6),4.1(0.7),2.3(0.6),1.7(0.5),5.4(0.9),5.8(0.6),4.5-7.0
세종,,(표준화율),,,,,,,,,,2.8(0.7),3.6(0.6),2.3(0.7),4.1(0.7),2.4(0.5),1.6(0.4),5.2(0.9),5.8(0.9),4.0-7.5
세종,남,,,,,,,,,,,1.8(0.7),2.7(0.9),1.8(0.7),2.1(0.8),1.6(0.6),0.9(0.5),5.8(1.6),4.0(0.9),2.1-5.8
세종,여,,,,,,,,,,,3.3(0.9),5.1(1.0),2.5(0.9),6.1(1.1),3.1(1.0),2.5(1.0),4.9(1.0),7.5(1.1),5.3-9.8
세종,19-29,,,,,,,,,,,5.7(2.8),0.0(0.0),5.5(2.5),2.7(1.4),2.5(1.4),0.8(0.8),4.0(2.1),4.7(2.6),0.0-9.8
세종,30-39,,,,,,,,,,,2.6(1.2),0.5(0.6),0.7(0.7),5.1(2.0),1.9(0.9),1.5(0.9),5.2(1.5),5.6(1.5),2.6-8.6
세종,40-49,,,,,,,,,,,0.8(0.6),2.6(1.2),1.5(1.0),3.1(1.1),2.6(1.2),2.9(1.4),6.2(2.6),5.2(1.3),2.6-7.8
세종,50-59,,,,,,,,,,,1.1(0.8),3.6(1.9),1.6(1.1),4.4(2.0),0.6(0.1),0.4(0.4),3.7(1.7),3.6(1.3),1.0-6.1
세종,60-69,,,,,,,,,,,1.5(1.0),8.4(2.7),0.4(0.4),4.3(1.6),2.8(1.8),1.7(1.2),4.6(2.1),7.3(2.3),2.7-11.8
세종,70이상,,,,,,,,,,,6.0(2.4),20.3(4.5),5.1(1.9),6.8(2.3),5.7(2.4),3.3(1.9),9.1(2.5),11.8(2.6),6.7-17.0
경기,N,(명),,,,,,,,,,"40,855","40,894","41,660","41,831","41,835","43,594","43,499","43,606",
경기,전체,(조율),,,,,,,,,,3.1(0.1),3.3(0.1),3.2(0.1),3.2(0.1),3.6(0.1),3.9(0.1),3.9(0.1),4.2(0.1),4.0-4.4
경기,,(표준화율),,,,,,,,,,3.1(0.1),3.2(0.1),3.2(0.1),3.3(0.1),3.6(0.1),3.9(0.1),3.9(0.1),4.2(0.1),4.0-4.4
경기,남,,,,,,,,,,,2.3(0.1),2.4(0.1),2.3(0.1),2.3(0.1),2.6(0.1),2.7(0.1),3.1(0.1),3.2(0.1),2.9-3.4
경기,여,,,,,,,,,,,4.0(0.1),4.2(0.2),4.1(0.2),4.0(0.2),4.6(0.2),5.0(0.2),4.7(0.2),5.2(0.2),4.9-5.5
경기,19-29,,,,,,,,,,,3.7(0.3),3.0(0.2),3.5(0.3),4.0(0.3),4.4(0.3),3.9(0.3),4.2(0.3),4.2(0.3),3.7-4.8
경기,30-39,,,,,,,,,,,2.7(0.2),3.2(0.2),3.4(0.3),3.6(0.3),3.8(0.2),4.2(0.3),4.6(0.3),4.2(0.3),3.7-4.7
경기,40-49,,,,,,,,,,,2.1(0.2),2.2(0.2),2.3(0.2),2.6(0.2),2.6(0.2),3.1(0.2),3.3(0.2),3.8(0.2),3.3-4.2
경기,50-59,,,,,,,,,,,2.4(0.2),2.4(0.2),2.2(0.2),2.3(0.2),2.3(0.2),3.0(0.2),2.5(0.2),3.2(0.2),2.8-3.6
