시도,시군구,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
부산,부산진구,5.2(0.6),5.6(0.7),8.2(0.7),6.9(0.8),7.7(0.7),8.8(0.8),7.4(0.6),8.0(0.9),7.2(0.8),8.4(0.8),6.0(0.7),9.0(1.0),7.3(0.7),7.6(0.8),8.2(0.8),9.1(1.0),10.5(1.1)
부산,북구,5.1(0.8),5.8(0.8),7.3(0.8),6.7(0.9),5.9(0.8),7.3(0.9),5.6(0.8),8.3(1.1),7.7(0.9),5.3(0.6),7.1(0.9),7.5(0.9),7.7(0.9),7.7(0.8),5.8(0.6),9.4(1.0),9.1(0.9)
부산,사상구,6.2(1.0),6.6(0.9),5.7(0.8),9.0(1.1),7.4(0.8),8.0(1.0),7.0(0.9),9.0(0.9),9.3(1.0),8.5(0.9),8.4(1.0),7.2(0.9),9.8(1.0),10.0(1.2),11.1(1.0),8.6(1.0),12.3(1.3)
부산,사하구,5.7(0.8),6.2(0.9),6.8(0.8),8.1(1.0),9.5(1.2),7.2(0.8),6.1(0.8),8.1(0.9),6.6(0.8),7.9(0.9),7.3(0.8),9.7(1.1),9.8(1.1),10.3(1.1),9.1(0.9),10.3(1.0),9.9(1.0)
부산,서구,6.7(0.8),7.9(0.9),6.3(0.7),5.4(0.6),7.5(0.8),8.7(1.0),7.7(0.8),6.0(0.7),8.3(0.9),8.2(0.9),9.3(1.1),6.2(0.7),9.3(1.0),9.7(0.9),7.4(1.0),9.7(1.0),9.6(1.0)
부산,수영구,5.1(0.7),6.5(0.8),6.0(0.7),6.1(0.8),5.5(0.8),7.2(0.8),6.3(0.7),5.7(0.8),7.5(0.9),6.3(0.7),8.1(1.1),7.3(0.9),8.7(1.0),7.2(0.9),8.5(1.0),8.6(0.9),8.0(0.8)
부산,연제구,7.7(1.0),5.4(0.7),7.3(0.8),6.1(0.8),7.7(0.9),6.7(0.8),7.0(0.8),8.0(0.9),7.3(1.0),7.1(0.8),7.0(0.8),10.0(1.1),7.1(0.9),8.8(1.1),6.9(0.8),9.6(1.0),9.5(0.9)
부산,영도구,6.1(0.8),7.6(0.9),6.5(0.8),7.8(0.8),9.7(1.0),7.0(0.7),8.4(0.9),7.0(0.8),9.1(1.1),8.5(0.9),10.0(1.0),8.3(0.8),9.0(1.2),11.5(1.2),10.3(1.0),9.8(1.0),10.2(1.2)
부산,중구,7.0(0.9),7.6(0.9),8.3(0.9),6.0(0.7),6.1(0.7),6.2(0.8),9.7(1.0),7.7(0.8),9.6(0.9),9.8(1.1),6.7(0.9),9.0(1.1),9.7(1.1),9.7(1.1),10.9(1.1),12.3(1.6),9.6(1.1)
부산,해운대구,5.6(0.8),6.8(0.9),5.0(0.7),8.6(1.0),6.0(0.8),8.5(0.9),8.2(0.8),7.3(0.8),7.1(0.9),7.0(0.8),6.7(0.7),8.2(0.9),7.9(1.0),8.4(0.9),10.4(1.2),7.3(0.8),6.6(0.7)
