시도,시군구,2017,2018,2019,2020,2021,2022,2023,2024
충북,청주시 흥덕구,30.1,32.0,,31.6,28.8,31.6,33.7,32.4
충북,청주시 청원구,28.4,29.0,,31.1,31.7,31.6,34.2,32.4
충북,충주시,28.2,36.9,,35.1,33.3,32.6,33.4,35.0
충남,계룡시,27.2,30.8,,31.2,30.1,31.4,34.1,33.4
충남,공주시,29.6,33.4,,30.0,33.0,31.5,39.3,35.5
충남,금산군,29.1,30.9,,30.4,31.6,31.9,33.9,35.1
충남,논산시,31.3,38.7,,26.0,33.9,29.5,27.8,30.4
충남,당진시,27.5,33.2,,37.0,32.9,36.5,39.1,37.6
충남,보령시,25.9,38.3,,32.2,35.0,34.0,35.5,29.7
충남,부여군,37.3,32.4,,29.2,32.7,31.7,33.6,37.2
충남,서산시,29.8,32.7,,33.2,33.1,31.0,33.1,36.6
충남,서천군,32.9,35.6,,43.5,34.3,34.6,38.3,36.6
충남,아산시,29.5,29.8,,30.6,34.7,33.8,34.6,37.9
충남,연기군,,,,,,,,
충남,예산군,35.8,34.4,,34.2,35.9,31.8,37.4,37.0
충남,천안시,27.3,30.9,,31.0,30.2,32.6,33.3,34.7
충남,천안시 서북구,,,,,,31.2,32.6,35.0
충남,천안시 동남구,,,,,,34.6,34.6,34.1
충남,청양군,32.3,35.1,,33.0,32.0,36.7,39.2,35.3
충남,태안군,33.1,32.5,,31.5,34.6,32.6,33.5,40.0
충남,홍성군,28.0,27.2,,33.8,36.4,36.0,38.5,38.3
전북,고창군,28.8,35.7,,32.8,34.0,35.2,32.5,36.2
전북,군산시,31.0,31.7,,27.7,33.8,35.8,30.8,33.3
전북,김제시,26.5,32.7,,28.3,36.2,31.9,34.7,35.1
전북,남원시,28.6,32.8,,29.4,32.0,33.8,30.6,34.4
전북,무주군,30.8,34.7,,29.4,34.2,34.2,37.5,32.9
전북,부안군,32.5,37.5,,36.0,37.1,43.7,37.0,41.3
전북,순창군,26.6,39.0,,34.3,30.1,38.2,39.7,40.0
전북,완주군,28.0,34.5,,28.1,34.9,35.1,35.1,30.5
전북,익산시,30.6,29.4,,30.2,30.6,33.5,35.7,36.7
전북,임실군,27.3,21.8,,28.2,35.9,31.9,37.8,27.3
전북,장수군,30.7,34.2,,32.1,32.0,30.3,32.6,26.9
