시도,시군구,2017,2018,2019,2020,2021,2022,2023,2024
충북,음성군,4.3,4.2,3.0,2.3,3.8,4.3,3.0,1.8
충북,제천시,3.1,3.2,4.9,2.8,3.6,7.4,3.6,3.0
충북,증평군,4.7,5.3,7.4,2.0,2.1,3.1,4.8,4.1
충북,진천군,1.5,2.7,2.6,3.2,2.7,2.7,6.0,5.5
충북,청원군,,,,,,,,
충북,청주시(통합 전),,,,,,,,
충북,청주시 상당구,,,,,,,,
충북,청주시 흥덕구,,,,,,,,
충북,청주시(통합 후),2.8,3.5,3.7,2.3,2.6,3.1,3.2,3.0
충북,청주시 상당구,4.6,8.8,6.5,4.6,3.1,4.0,4.4,2.3
충북,청주시 서원구,4.0,3.4,1.4,2.2,1.7,2.6,4.2,3.3
충북,청주시 흥덕구,1.6,1.2,4.5,1.7,1.9,2.7,2.4,2.6
충북,청주시 청원구,1.2,2.1,2.1,1.2,3.7,3.1,2.0,3.9
충북,충주시,2.5,3.9,4.6,4.7,3.9,4.1,3.4,4.2
충남,계룡시,2.0,2.0,1.4,0.5,1.1,1.3,0.6,1.8
충남,공주시,3.9,4.5,4.3,2.2,4.1,4.4,4.3,4.3
충남,금산군,4.5,4.9,4.3,4.2,3.6,4.3,3.2,4.5
충남,논산시,2.0,4.4,3.9,1.9,1.2,2.2,3.5,2.6
충남,당진시,2.7,4.5,5.3,2.7,3.3,4.5,2.9,5.5
충남,보령시,8.8,6.2,3.8,3.5,4.3,4.6,3.0,3.8
충남,부여군,2.3,2.8,3.5,3.7,2.5,4.0,3.9,5.7
충남,서산시,3.6,3.7,2.2,2.9,4.2,3.8,3.4,5.7
충남,서천군,1.4,1.6,4.2,2.0,2.9,3.6,3.5,3.3
충남,아산시,4.8,3.3,3.2,3.5,5.9,5.5,6.9,4.5
충남,연기군,,,,,,,,
충남,예산군,2.1,4.0,4.1,2.3,6.6,2.5,3.5,2.4
충남,천안시,8.4,5.3,4.1,1.4,4.1,6.4,6.3,6.2
충남,천안시 서북구,,,,,,6.5,7.4,6.8
충남,천안시 동남구,,,,,,6.5,4.5,5.6
충남,청양군,3.2,1.1,3.3,5.4,1.6,0.7,1.1,2.2
충남,태안군,3.3,3.3,2.6,2.8,1.9,2.0,2.7,2.8
충남,홍성군,3.9,5.2,3.2,3.0,4.7,2.1,6.4,3.6
전북,고창군,3.6,2.7,1.4,2.0,2.2,4.1,4.6,2.5
전북,군산시,4.4,1.3,1.9,1.6,2.9,3.4,1.4,2.8
전북,김제시,3.7,5.2,4.2,2.4,3.2,2.9,3.2,2.8
전북,남원시,2.0,0.5,2.5,2.3,4.7,4.6,1.4,3.7
전북,무주군,3.4,4.8,3.0,5.3,3.4,4.3,2.1,3.4
전북,부안군,4.2,2.7,2.8,2.8,2.8,2.0,1.4,4.1
전북,순창군,0.9,2.8,1.8,0.5,2.2,1.1,1.7,3.4
전북,완주군,1.7,1.1,1.4,1.9,4.5,1.4,3.8,1.5
전북,익산시,3.5,3.3,1.3,1.3,1.2,4.1,2.5,4.6
전북,임실군,2.1,1.7,2.1,1.9,2.1,5.3,2.1,1.6
전북,장수군,1.8,1.5,1.5,1.4,3.6,2.3,4.6,3.6
전북,전주시,2.5,6.5,4.1,4.8,4.6,4.1,4.4,3.3
전북,정읍시,3.3,1.3,2.1,2.1,1.5,3.5,2.6,2.6
전북,진안군,1.4,4.3,2.6,1.6,4.0,3.5,2.8,6.5
전남,강진군,2.3,0.9,2.2,2.1,1.4,1.9,1.4,2.5
전남,고흥군,3.5,1.9,0.9,2.1,0.3,0.5,1.4,0.5
전남,곡성군,3.5,2.5,3.4,2.3,4.0,2.0,1.5,2.5
전남,광양시,3.3,3.6,2.6,2.3,2.1,3.9,5.2,3.4
전남,구례군,0.6,0.4,1.4,0.1,0.5,2.8,3.8,1.7
전남,나주시,5.8,3.3,5.7,4.5,4.1,5.9,4.2,4.4
전남,담양군,2.2,2.9,1.9,1.1,1.4,1.4,1.5,2.1
전남,목포시,3.5,3.4,1.2,0.3,0.8,3.0,1.9,2.5
전남,무안군,2.4,1.8,0.5,1.5,1.8,2.3,4.5,2.5
전남,보성군,1.0,2.5,2.0,3.6,1.6,4.8,2.5,1.6
전남,순천시,1.1,2.4,3.6,1.8,2.2,2.5,3.1,3.8
전남,신안군,2.3,6.4,1.1,0.8,1.4,2.9,2.8,1.6
전남,여수시,1.6,1.3,2.5,2.3,1.3,1.9,1.9,3.8
전남,영광군,2.3,4.0,2.8,3.3,3.7,2.6,2.9,2.3
전남,영암군,2.4,4.1,4.6,1.0,5.0,1.5,2.5,4.9
전남,완도군,0.5,1.2,3.2,1.6,3.8,1.8,2.8,3.9
전남,장성군,3.1,3.4,3.5,2.6,1.8,5.6,4.6,3.2
전남,장흥군,5.0,5.1,1.7,1.6,1.7,3.2,2.9,5.0
전남,진도군,1.6,2.4,2.5,1.3,2.0,2.5,3.6,1.0
전남,함평군,2.4,1.8,2.1,0.8,3.8,4.8,4.2,2.6
